Name	Version	Architecturet	Description
libaudit-common	1:2.8.5-2ubuntu6	all	Dynamic library for security auditing - common files
libaudit1:amd64	1:2.8.5-2ubuntu6	amd64	Dynamic library for security auditing
libauthen-sasl-perl	2.1600-1	all	Authen::SASL - SASL Authentication framework
libb-hooks-endofscope-perl	0.24-1	all	module for executing code after a scope finished compilation
libb-hooks-op-check-perl	0.22-1build2	amd64	Perl wrapper for OP check callbacks
libbinutils:amd64	2.34-6ubuntu1.6	amd64	GNU binary utilities (private shared library)
libblkid1:amd64	2.34-0.1ubuntu9.4	amd64	block device ID library
libbrotli1:amd64	1.0.7-6ubuntu0.1	amd64	library implementing brotli encoder and decoder (shared libraries)
libbsd0:amd64	0.10.0-1	amd64	utility functions from BSD systems - shared library
libbz2-1.0:amd64	1.0.8-2	amd64	high-quality block-sorting file compressor library - runtime
libc-bin	2.31-0ubuntu9.12	amd64	GNU C Library: Binaries
libc-dev-bin	2.31-0ubuntu9.12	amd64	GNU C Library: Development binaries
libc6:amd64	2.31-0ubuntu9.12	amd64	GNU C Library: Shared libraries
libc6-dev:amd64	2.31-0ubuntu9.12	amd64	GNU C Library: Development Libraries and Header Files
libcap-ng0:amd64	0.7.9-2.1build1	amd64	An alternate POSIX capabilities library
libcapture-tiny-perl	0.48-1	all	module to capture STDOUT and STDERR
libcbor0.6:amd64	0.6.0-0ubuntu1	amd64	library for parsing and generating CBOR (RFC 7049)
libcc1-0:amd64	10.5.0-1ubuntu1~20.04	amd64	GCC cc1 plugin for GDB
libclass-method-modifiers-perl	2.13-1	all	Perl module providing method modifiers
libclass-xsaccessor-perl	1.19-3build3	amd64	Perl module providing fast XS accessors
libclone-perl	0.43-2	amd64	module for recursively copying Perl datatypes
libcom-err2:amd64	1.45.5-2ubuntu1.1	amd64	common error description library
libcommon-sense-perl	3.74-2build6	amd64	module that implements some sane defaults for Perl programs
libconst-fast-perl	0.014-1	all	facility for creating read-only scalars, arrays, and hashes
libcontextual-return-perl	0.004014-2	all	module for creating context-sensitive return values
libcpanel-json-xs-perl	4.19-1build1	amd64	module for fast and correct serialising to JSON
libcroco3:amd64	0.6.13-1	amd64	Cascading Style Sheet (CSS) parsing and manipulation toolkit
libcrypt-dev:amd64	1:4.4.10-10ubuntu4	amd64	libcrypt development files
libcrypt1:amd64	1:4.4.10-10ubuntu4	amd64	libcrypt shared library
libctf-nobfd0:amd64	2.34-6ubuntu1.6	amd64	Compact C Type Format library (runtime, no BFD dependency)
libctf0:amd64	2.34-6ubuntu1.6	amd64	Compact C Type Format library (runtime, BFD dependency)
libcurl3-gnutls:amd64	7.68.0-1ubuntu2.20	amd64	easy-to-use client-side URL transfer library (GnuTLS flavour)
libcurl4:amd64	7.68.0-1ubuntu2.20	amd64	easy-to-use client-side URL transfer library (OpenSSL flavour)
libdata-dump-perl	1.23-1	all	Perl module to help dump data structures
libdata-optlist-perl	0.110-1	all	module to parse and validate simple name/value option pairs
libdb5.3:amd64	5.3.28+dfsg1-0.6ubuntu2	amd64	Berkeley v5.3 Database Libraries [runtime]
libdebconfclient0:amd64	0.251ubuntu1	amd64	Debian Configuration Management System (C-implementation library)
libdebhelper-perl	12.10ubuntu1	all	debhelper perl modules
libdevel-callchecker-perl	0.008-1ubuntu1	amd64	custom op checking attached to subroutines
libdevel-size-perl	0.83-1build1	amd64	Perl extension for finding the memory usage of Perl variables
libdigest-bubblebabble-perl	0.02-2	all	perl module to create bubble-babble fingerprints
libdigest-hmac-perl	1.03+dfsg-2	all	module for creating standard message integrity checks
libdistro-info-perl	0.23ubuntu1.1	all	information about distributions' releases (Perl module)
libdpkg-perl	1.19.7ubuntu3.2	all	Dpkg perl modules
libdynaloader-functions-perl	0.003-1	all	deconstructed dynamic C library loading
libedit2:amd64	3.1-20191231-1	amd64	BSD editline and history libraries
libelf1:amd64	0.176-1.1ubuntu0.1	amd64	library to read and write ELF files
libemail-valid-perl	1.202-1	all	Perl module for checking the validity of Internet email addresses
libencode-locale-perl	1.05-1	all	utility to determine the locale encoding
liberror-perl	0.17029-1	all	Perl module for error/exception handling in an OO-ish way
libexpat1:amd64	2.2.9-1ubuntu0.6	amd64	XML parsing C library - runtime library
libexporter-tiny-perl	1.002001-1	all	tiny exporter similar to Sub::Exporter
libext2fs2:amd64	1.45.5-2ubuntu1.1	amd64	ext2/ext3/ext4 file system libraries
libfakeroot:amd64	1.24-1	amd64	tool for simulating superuser privileges - shared libraries
libfdisk1:amd64	2.34-0.1ubuntu9.4	amd64	fdisk partitioning library
libffi7:amd64	3.3-4	amd64	Foreign Function Interface library runtime
libfido2-1:amd64	1.3.1-1ubuntu2	amd64	library for generating and verifying FIDO 2.0 objects
libfile-basedir-perl	0.08-1	all	Perl module to use the freedesktop basedir specification
libfile-chdir-perl	0.1008-1	all	more sensible way to change directories
libfile-fcntllock-perl	0.22-3build4	amd64	Perl module for file locking with fcntl(2)
libfile-find-rule-perl	0.34-1	all	module to search for files based on rules
libfile-homedir-perl	1.004-1	all	Perl module for finding user directories across platforms
libfile-listing-perl	6.04-1	all	module to parse directory listings
libfile-stripnondeterminism-perl	1.7.0-1	all	file non-deterministic information stripper — Perl module
libfile-which-perl	1.23-1	all	Perl module for searching paths for executable programs
libfl2:amd64	2.6.4-6.2	amd64	SHARED library for flex (a fast lexical analyzer generator)
libfont-afm-perl	1.20-2	all	Font::AFM - Interface to Adobe Font Metrics files
libfont-ttf-perl	1.06-1	all	Perl module for TrueType font hacking
libfuture-perl	0.43-1	all	module for operations awaiting completion
libgcc-9-dev:amd64	9.4.0-1ubuntu1~20.04.2	amd64	GCC support library (development files)
libgcc-s1:amd64	10.5.0-1ubuntu1~20.04	amd64	GCC support library
libgcrypt20:amd64	1.8.5-5ubuntu1.1	amd64	LGPL Crypto library - runtime library
libgdbm-compat4:amd64	1.18.1-5	amd64	GNU dbm database routines (legacy support runtime version)
libgdbm6:amd64	1.18.1-5	amd64	GNU dbm database routines (runtime version)
libgetopt-long-descriptive-perl	0.104-1	all	module that handles command-line arguments with usage text
libgit-wrapper-perl	0.048-1	all	Perl module to wrap git command-line interface
libgitlab-api-v4-perl	0.25-1	all	GitLab API v4 module and command-line client
libglib2.0-0:amd64	2.64.6-1~ubuntu20.04.6	amd64	GLib library of C routines
libglib2.0-data	2.64.6-1~ubuntu20.04.6	all	Common files for GLib library
libgmp10:amd64	2:6.2.0+dfsg-4ubuntu0.1	amd64	Multiprecision arithmetic library
libgnutls30:amd64	3.6.13-2ubuntu1.9	amd64	GNU TLS library - main runtime library
libgomp1:amd64	10.5.0-1ubuntu1~20.04	amd64	GCC OpenMP (GOMP) support library
libgpg-error0:amd64	1.37-1	amd64	GnuPG development runtime library
libgpgme11:amd64	1.13.1-7ubuntu2.1	amd64	GPGME - GnuPG Made Easy (library)
libgssapi-krb5-2:amd64	1.17-6ubuntu4.4	amd64	MIT Kerberos runtime libraries - krb5 GSS-API Mechanism
libgssapi3-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - GSSAPI support library
libhash-fieldhash-perl	0.15-1build2	amd64	Perl module implementing a lightweight field hash
libhcrypto4-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - crypto library
libheimbase1-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - Base library
libheimntlm0-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - NTLM support library
libhogweed5:amd64	3.5.1+really3.5.1-2ubuntu0.2	amd64	low level cryptographic library (public-key cryptos)
libhtml-form-perl	6.07-1	all	module that represents an HTML form element
libhtml-format-perl	2.12-1	all	module for transforming HTML into various formats
libhtml-parser-perl	3.72-5	amd64	collection of modules that parse HTML text documents
libhtml-tagset-perl	3.20-4	all	data tables pertaining to HTML
libhtml-tree-perl	5.07-2	all	Perl module to represent and create HTML syntax trees
libhttp-cookies-perl	6.08-1	all	HTTP cookie jars
libhttp-daemon-perl	6.06-1ubuntu0.1	all	simple http server class
libhttp-date-perl	6.05-1	all	module of date conversion routines
libhttp-message-perl	6.22-1	all	perl interface to HTTP style messages
libhttp-negotiate-perl	6.01-1	all	implementation of content negotiation
libhttp-tiny-multipart-perl	0.08-1	all	module to add post_multipart method to HTTP::Tiny
libhx509-5-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - X509 support library
libicu66:amd64	66.1-2ubuntu2.1	amd64	International Components for Unicode
libidn11:amd64	1.33-2.2ubuntu2	amd64	GNU Libidn library, implementation of IETF IDN specifications
libidn2-0:amd64	2.2.0-2	amd64	Internationalized domain names (IDNA2008/TR46) library
libimport-into-perl	1.002005-1	all	module for importing packages into other packages
libio-async-loop-epoll-perl	0.20-1	all	Perl extension for an event loop using epoll
libio-async-perl	0.75-1	all	modules for asynchronous event-driven programming
libio-html-perl	1.001-1	all	open an HTML file with automatic charset detection
libio-prompter-perl	0.004015-1	all	Perl module to prompt for input, read it, clean it, return it
libio-pty-perl	1:1.12-1	amd64	Perl module for pseudo tty IO
libio-socket-ssl-perl	2.067-1	all	Perl module implementing object oriented interface to SSL sockets
libio-string-perl	1.08-3	all	Emulate IO::File interface for in-core strings
libio-stringy-perl	2.111-3	all	modules for I/O on in-core objects (strings/arrays)
libipc-run-perl	20180523.0-2	all	Perl module for running processes
libipc-system-simple-perl	1.26-1	all	Perl module to run commands simply, with detailed diagnostics
libisl22:amd64	0.22.1-1	amd64	manipulating sets and relations of integer points bounded by linear constraints
libitm1:amd64	10.5.0-1ubuntu1~20.04	amd64	GNU Transactional Memory Library
libjson-maybexs-perl	1.004000-1	all	interface to the best available JSON module
libjson-perl	4.02000-2	all	module for manipulating JSON-formatted data
libjson-xs-perl	4.020-1build1	amd64	module for manipulating JSON-formatted data (C/XS-accelerated)
libk5crypto3:amd64	1.17-6ubuntu4.4	amd64	MIT Kerberos runtime libraries - Crypto Library
libkeyutils1:amd64	1.6-6ubuntu1.1	amd64	Linux Key Management Utilities (library)
libkrb5-26-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - libraries
libkrb5-3:amd64	1.17-6ubuntu4.4	amd64	MIT Kerberos runtime libraries
libkrb5support0:amd64	1.17-6ubuntu4.4	amd64	MIT Kerberos runtime libraries - Support library
libksba8:amd64	1.3.5-2ubuntu0.20.04.2	amd64	X.509 and CMS support library
libldap-2.4-2:amd64	2.4.49+dfsg-2ubuntu1.9	amd64	OpenLDAP libraries
libldap-common	2.4.49+dfsg-2ubuntu1.9	all	OpenLDAP common files for libraries
liblinux-epoll-perl	0.017-1	amd64	perl epoll module for O(1) multiplexing
liblist-compare-perl	0.53-1	all	Perl module for comparing elements of two or more lists
liblist-moreutils-perl	0.416-1build5	amd64	Perl module with additional list functions not found in List::Util
liblist-someutils-perl	0.58-1	all	module that provides the stuff missing in List::Util
liblist-someutils-xs-perl	0.58-2	amd64	module providing XS implementation for List::SomeUtils
liblocale-gettext-perl	1.07-4	amd64	module using libc functions for internationalization in Perl
liblog-any-adapter-screen-perl	0.140-1	all	send logs to screen, with colors and some other features
liblog-any-perl	1.708-1	all	Perl module to log messages safely and efficiently
liblsan0:amd64	10.5.0-1ubuntu1~20.04	amd64	LeakSanitizer -- a memory leak detector (runtime)
libltdl-dev:amd64	2.4.6-14	amd64	System independent dlopen wrapper for GNU libtool
libltdl7:amd64	2.4.6-14	amd64	System independent dlopen wrapper for GNU libtool
liblwp-mediatypes-perl	6.04-1	all	module to guess media type for a file or a URL
liblwp-protocol-https-perl	6.07-2ubuntu2	all	HTTPS driver for LWP::UserAgent
liblz4-1:amd64	1.9.2-2ubuntu0.20.04.1	amd64	Fast LZ compression algorithm library - runtime
liblzma5:amd64	5.2.4-1ubuntu1.1	amd64	XZ-format compression library
libmagic-mgc	1:5.38-4	amd64	File type determination library using magic numbers (compiled magic file)
libmagic1:amd64	1:5.38-4	amd64	Recognize the type of data in a file using magic numbers - library
libmail-sendmail-perl	0.80-1	all	simple way to send email from a perl script
libmailtools-perl	2.21-1	all	modules to manipulate email in perl programs
libmodule-implementation-perl	0.09-1	all	module for loading one of several alternate implementations of a module
libmodule-runtime-perl	0.016-1	all	Perl module for runtime module handling
libmoo-perl	2.003006-1	all	Minimalist Object Orientation library (with Moose compatibility)
libmoox-aliases-perl	0.001006-1	all	easy aliasing of methods and attributes in Moo
libmoox-struct-perl	0.017-1	all	simple lightweight record-like structures making sounds like cows
libmount1:amd64	2.34-0.1ubuntu9.4	amd64	device mounting library
libmpc3:amd64	1.1.0-1	amd64	multiple precision complex floating-point library
libmpdec2:amd64	2.4.2-3	amd64	library for decimal floating point arithmetic (runtime library)
libmpfr6:amd64	4.0.2-1	amd64	multiple precision floating-point computation
libnamespace-clean-perl	0.27-1	all	module for keeping imports and functions out of the current namespace
libncurses6:amd64	6.2-0ubuntu2.1	amd64	shared libraries for terminal handling
libncursesw6:amd64	6.2-0ubuntu2.1	amd64	shared libraries for terminal handling (wide character support)
libnet-dns-perl	1.22-1	all	Perform DNS queries from a Perl script
libnet-dns-sec-perl	1.15-1	amd64	DNSSEC extension to NET::DNS
libnet-domain-tld-perl	1.75-1	all	list of currently available Top-level Domains (TLDs)
libnet-http-perl	6.19-1	all	module providing low-level HTTP connection client
libnet-ip-perl	1.26-2	all	Perl extension for manipulating IPv4/IPv6 addresses
libnet-libidn-perl	0.12.ds-3build2	amd64	Perl bindings for GNU Libidn
libnet-smtp-ssl-perl	1.04-1	all	Perl module providing SSL support to Net::SMTP
libnet-ssleay-perl	1.88-2ubuntu1	amd64	Perl module for Secure Sockets Layer (SSL)
libnettle7:amd64	3.5.1+really3.5.1-2ubuntu0.2	amd64	low level cryptographic library (symmetric and one-way cryptos)
libnghttp2-14:amd64	1.40.0-1ubuntu0.2	amd64	library implementing HTTP/2 protocol (shared library)
libnpth0:amd64	1.6-1	amd64	replacement for GNU Pth using system threads
libnumber-compare-perl	0.03-1	all	module for performing numeric comparisons in Perl
libnumber-range-perl	0.12-1	all	Perl extension to work with ranges of numbers
libobject-id-perl	0.1.2-2ubuntu1	all	unique identifier for any object
libp11-kit0:amd64	0.23.20-1ubuntu0.1	amd64	library for loading and coordinating access to PKCS#11 modules - runtime
libpackage-stash-perl	0.38-1	all	module providing routines for manipulating stashes
libpackage-stash-xs-perl	0.29-1build1	amd64	Perl module providing routines for manipulating stashes (XS version)
libpam-modules:amd64	1.3.1-5ubuntu4.6	amd64	Pluggable Authentication Modules for PAM
libpam-modules-bin	1.3.1-5ubuntu4.6	amd64	Pluggable Authentication Modules for PAM - helper binaries
libpam-runtime	1.3.1-5ubuntu4.6	all	Runtime support for the PAM library
libpam0g:amd64	1.3.1-5ubuntu4.6	amd64	Pluggable Authentication Modules library
libparams-classify-perl	0.015-1build2	amd64	Perl module for argument type classification
libparams-util-perl	1.07-3build5	amd64	Perl extension for simple stand-alone param checking functions
libparams-validate-perl	1.29-3	amd64	Perl module to validate parameters to Perl method/function calls
libpath-iterator-rule-perl	1.014-1	all	iterative, recursive file finder
libpath-tiny-perl	0.108-1	all	file path utility
libpcre2-8-0:amd64	10.34-7ubuntu0.1	amd64	New Perl Compatible Regular Expression Library- 8 bit runtime files
libpcre3:amd64	2:8.39-12ubuntu0.1	amd64	Old Perl 5 Compatible Regular Expression Library - runtime files
libperl4-corelibs-perl	0.004-2	all	libraries historically supplied with Perl 4
libperl5.30:amd64	5.30.0-9ubuntu0.5	amd64	shared Perl library
libperlio-gzip-perl	0.19-1build5	amd64	module providing a PerlIO layer to gzip/gunzip
libpipeline1:amd64	1.5.2-2build1	amd64	Unix process pipeline manipulation library
libpod-constants-perl	0.19-1	all	module for including constants from POD
libprocps8:amd64	2:3.3.16-1ubuntu2.4	amd64	library for accessing process information from /proc
libpsl5:amd64	0.21.0-1ubuntu1	amd64	Library for Public Suffix List (shared libraries)
libpython3-stdlib:amd64	3.8.2-0ubuntu2	amd64	interactive high-level object-oriented language (default python3 version)
libpython3.8-minimal:amd64	3.8.10-0ubuntu1~20.04.9	amd64	Minimal subset of the Python language (version 3.8)
libpython3.8-stdlib:amd64	3.8.10-0ubuntu1~20.04.9	amd64	Interactive high-level object-oriented language (standard library, version 3.8)
libquadmath0:amd64	10.5.0-1ubuntu1~20.04	amd64	GCC Quad-Precision Math Library
libre-engine-re2-perl	0.13-5	amd64	RE2 regex engine
libre2-5:amd64	20200101+dfsg-1build1	amd64	efficient, principled regular expression library
libreadline8:amd64	8.0-4	amd64	GNU readline and history libraries, run-time libraries
libreadonly-perl	2.050-2	all	facility for creating read-only scalars, arrays and hashes
libref-util-perl	0.204-1	all	set of utility functions for checking references
libref-util-xs-perl	0.117-1build2	amd64	XS implementation for Ref::Util
libregexp-pattern-license-perl	3.2.0-1	all	regular expressions for legal licenses
libregexp-pattern-perl	0.2.12-1	all	convention/framework for modules that contain collection of regexes
libroken18-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4	amd64	Heimdal Kerberos - roken support library
librole-tiny-perl	2.001004-1	all	Perl module for minimalist role composition
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build1	amd64	toolkit for RTMP streams (shared library)
libsasl2-2:amd64	2.1.27+dfsg-2ubuntu0.1	amd64	Cyrus SASL - authentication abstraction library
libsasl2-modules:amd64	2.1.27+dfsg-2ubuntu0.1	amd64	Cyrus SASL - pluggable authentication modules
libsasl2-modules-db:amd64	2.1.27+dfsg-2ubuntu0.1	amd64	Cyrus SASL - pluggable authentication modules (DB)
libseccomp2:amd64	2.5.1-1ubuntu1~20.04.2	amd64	high level interface to Linux seccomp filter
libselinux1:amd64	3.0-1build2	amd64	SELinux runtime shared libraries
libsemanage-common	3.0-1build2	all	Common files for SELinux policy management libraries
libsemanage1:amd64	3.0-1build2	amd64	SELinux policy management library
libsepol1:amd64	3.0-1ubuntu0.1	amd64	SELinux library for manipulating binary security policies
libsereal-decoder-perl	4.011+ds-1build1	amd64	fast, compact, powerful binary deserialization module
libsereal-encoder-perl	4.011+ds-1build1	amd64	fast, compact, powerful binary serialization module
libsereal-perl	4.011-1	all	fast, compact, powerful binary (de-)serialization module wrapper
libsigsegv2:amd64	2.12-2	amd64	Library for handling page faults in a portable way
libsmartcols1:amd64	2.34-0.1ubuntu9.4	amd64	smart column output alignment library
libsort-key-perl	1.33-2build2	amd64	module to sort a list of values by a calculated key
libsort-versions-perl	1.62-1	all	Perl module for sorting of revision (and similar) numbers
libsqlite3-0:amd64	3.31.1-4ubuntu0.5	amd64	SQLite 3 shared library
libss2:amd64	1.45.5-2ubuntu1.1	amd64	command-line interface parsing library
libssh-4:amd64	0.9.3-2ubuntu2.3	amd64	tiny C SSH library (OpenSSL flavor)
libssl1.1:amd64	1.1.1f-1ubuntu2.20	amd64	Secure Sockets Layer toolkit - shared libraries
libstdc++-9-dev:amd64	9.4.0-1ubuntu1~20.04.2	amd64	GNU Standard C++ Library v3 (development files)
libstdc++6:amd64	10.5.0-1ubuntu1~20.04	amd64	GNU Standard C++ Library v3
libstrictures-perl	2.000006-1	all	Perl module to turn on strict and make all warnings fatal
libstring-copyright-perl	0.003006-1	all	representation of text-based copyright statements
libstring-escape-perl	2010.002-2	all	module for manipulating escaped strings
libstring-shellquote-perl	1.04-1	all	module to quote strings for passing through the shell
libstruct-dumb-perl	0.09-1	all	module to create simple lightweight record-like structures
libsub-exporter-perl	0.987-1	all	sophisticated exporter for custom-built routines
libsub-exporter-progressive-perl	0.001013-1	all	module for using Sub::Exporter only if needed
libsub-identify-perl	0.14-1build2	amd64	module to retrieve names of code references
libsub-install-perl	0.928-1	all	module for installing subroutines into packages easily
libsub-name-perl	0.26-1	amd64	module for assigning a new name to referenced sub
libsub-override-perl	0.09-2	all	Perl module used to temporarily override subroutines
libsub-quote-perl	2.006006-1	all	helper modules for subroutines
libsys-hostname-long-perl	1.5-1	all	Figure out the long (fully-qualified) hostname
libsystemd0:amd64	245.4-4ubuntu3.22	amd64	systemd utility library
libtasn1-6:amd64	4.16.0-2	amd64	Manage ASN.1 structures (runtime)
libterm-readkey-perl	2.38-1build1	amd64	perl module for simple terminal control
libtest-fatal-perl	0.014-1	all	module for testing code with exceptions
libtest-refcount-perl	0.10-1	all	Perl module to assert reference counts
libtext-glob-perl	0.10-1	all	Perl module for matching globbing patterns against text
libtext-levenshtein-perl	0.13-1	all	implementation of the Levenshtein edit distance
libtimedate-perl	2.3200-1	all	collection of modules to manipulate date/time information
libtinfo6:amd64	6.2-0ubuntu2.1	amd64	shared low-level terminfo library for terminal handling
libtool	2.4.6-14	all	Generic library support script
libtry-tiny-perl	0.30-1	all	module providing minimalistic try/catch
libtsan0:amd64	10.5.0-1ubuntu1~20.04	amd64	ThreadSanitizer -- a Valgrind-based detector of data races (runtime)
libtype-tiny-perl	1.008001-2	all	tiny, yet Moo(se)-compatible type constraint
libtype-tiny-xs-perl	0.016-1	amd64	boost for some of Type::Tiny's built-in type constraints
libtypes-serialiser-perl	1.0-1	all	module providing simple data types for common serialisation formats
libubsan1:amd64	10.5.0-1ubuntu1~20.04	amd64	UBSan -- undefined behaviour sanitizer (runtime)
libuchardet0:amd64	0.0.6-3build1	amd64	universal charset detection library - shared library
libudev1:amd64	245.4-4ubuntu3.22	amd64	libudev shared library
libunicode-utf8-perl	0.62-1build1	amd64	encoding and decoding of UTF-8 encoding form
libunistring2:amd64	0.9.10-2	amd64	Unicode string library for C
